source_archive	source_path	status	source_size	source_sha256_1mib	decoded_format	decoded_w	decoded_h	output_path	output_size	output_sha256
Media.pk2	interface/worldmap/map/map_fort_jangan.ddj	CONVERTED	524436	7dd1d2bc34054acf2418af8ba14648de9c040dda792ecde91e47cbe4c47bbbbf	DDS	1024	1024	android-assets/textures/worldmap/map_fort_jangan.webp	228476	08d71d873ca1339cff298a3897a17eb185fcede2984c3b14dfb1303948ad137f
Media.pk2	interface/worldmap/map/map_fort_bijuckdan.ddj	CONVERTED	524436	b1efd6e35f575133d461f33dc3e1139f9bc75f41512e500e37854f6cc66bd884	DDS	1024	1024	android-assets/textures/worldmap/map_fort_bijuckdan.webp	268952	767c2e7dd2bcda6f8dfc565e108a4fd7e92591ea81cbbf4dab097d40782af320
Media.pk2	interface/worldmap/map/map_fort_hotan.ddj	CONVERTED	524436	f41d896d6889e8c106b7f7ba1bfae8cfa65b960b38250b61cc0f68e0d369b3f6	DDS	1024	1024	android-assets/textures/worldmap/map_fort_hotan.webp	220604	6250c2956eae508c45bbd6f172572c9099009fea8cdf6d8889adbdf659010183
Media.pk2	interface/worldmap/map/map_fort_constantinople.ddj	CONVERTED	524436	1448da7158b32dfc9d03beee20c32d72e71ede693fa41aa64bf9e9623449fb1f	DDS	1024	1024	android-assets/textures/worldmap/map_fort_constantinople.webp	306422	a425b33e68bc0303892d7e8df76e61ae166cfbe1c63a039207755210fc4aea92
Media.pk2	interface/worldmap/map/map_alex.ddj	CONVERTED	524436	e41dd10e9607a7eed26b1aad82b205cb1b9138ea8b0af570a1ca0aa88d2e4439	DDS	1024	1024	android-assets/textures/worldmap/map_alex.webp	259480	8c00f75759b2234bc3fccff392bbcbfc040889588018b6fffde23546be48e500
Media.pk2	interface/worldmap/map/map_ship_in.ddj	CONVERTED	524436	fc138dac3f33afb869b839a79c7728c1b0e0d263540233886bf19caf564e718f	DDS	1024	1024	android-assets/textures/worldmap/map_ship_in.webp	236910	31a8e59236db74b046fcfdd0c4a84dd37a109b002d9990c04251fc12826afc1d
Media.pk2	interface/worldmap/map/map_ship_out.ddj	CONVERTED	524436	27f7caaf14f7e6629bcae70fc46108716f835211c2aae832ec04ae254c233e6f	DDS	1024	1024	android-assets/textures/worldmap/map_ship_out.webp	239450	8fb8e884a7f49f3c10f0c74398e524d4193868443e89974af5e640b5968961b6
Media.pk2	interface/worldmap/map/map_togui.ddj	CONVERTED	524436	4f7e8229fd53b49bce3e846f5d3b6327f6e02f7c1aab3e44d09b87892212bcb2	DDS	1024	1024	android-assets/textures/worldmap/map_togui.webp	160476	04ec360b87a98391e9775ae741f2a4d9d439bbc235b84264e830e2d82f9a9b01
Media.pk2	interface/worldmap/map/map_worship.ddj	CONVERTED	2949268	0435f912c29e2224f3747216e700d977ed9e0ab4d2a89dd675323a40885b8c9b	DDS	768	1280	android-assets/textures/worldmap/map_worship.webp	114942	a5d85e9998738e36a92a0078c64add397b200f0f48787502229894ba7f242a4d
Media.pk2	interface/worldmap/map/map_jupiter_field.ddj	CONVERTED	1228948	040c3a929df1f20700509118787e03f9215f11e95b57614013d44f9189cec9b7	DDS	640	640	android-assets/textures/worldmap/map_jupiter_field.webp	117882	ae9ea771352a0b33f53457be6a466e8c8b6b0cc889b790fcf0e5f13f407a8286
Media.pk2	interface/worldmap/map/map_bagdad.ddj	UNRESOLVED								
Media.pk2	interface/worldmap/map/map_bagdad_dungeon.ddj	UNRESOLVED								
Media.pk2	interface/worldmap/map/map_muhan.ddj	CONVERTED	147604	b8ae94e28873e87c9e4a65df993f6854e3d184017096a015c88a07fa8dbcc2c7	DDS	768	384	android-assets/textures/worldmap/map_muhan.webp	87366	f22dd385f4e310d64fa307c9e0967bd9a1b702e96fb6299ab08b1a882f403d1a
Media.pk2	interface/worldmap/map/map_petra_dungeon.ddj	CONVERTED	602260	364c4edd467173ecd2df77c6e8dec2d8ef904220d857a7f02fe561357170a6c9	DDS	585	1024	android-assets/textures/worldmap/map_petra_dungeon.webp	143328	e57eb9b9381e5e63f305090a2a6c77ea2495967824e7b0135396d47b2fcbb075
Media.pk2	interface/worldmap/map/map_garden_dungeon.ddj	CONVERTED	1379604	bea351e6a61fc5a4a8ca77863f9d8c32f11f27213b157b9cad4850453516c1d9	DDS	832	829	android-assets/textures/worldmap/map_garden_dungeon.webp	144210	323c36efc3308c9e35eebdd2b635325756df8f79c4a96b1ca9f2c53f239619ef
Media.pk2	interface/worldmap/map/map_other_skytemple_a.ddj	CONVERTED	524436	d41ca5935569aef3b513acb481a37be69ba3aceffd091b35ab4e87954606808e	DDS	1024	1024	android-assets/textures/worldmap/map_other_skytemple_a.webp	208464	c1d283a49083f82e5f0729b7501ef35e1bde3ee8796cd9a853314cc0922d2384
Media.pk2	interface/worldmap/map/map_other_skytemple_b.ddj	CONVERTED	524436	6a93c523a09f767bf721d21e9d3c32f5dae53c3f6dee0cfadc23ee8d2cc2a6bd	DDS	1024	1024	android-assets/textures/worldmap/map_other_skytemple_b.webp	135124	c7fc0d7cb9ce1d48dcfc4e4267eb28584e294da3e4ebebf7c1658b94a52204a8
Media.pk2	interface/worldmap/map/map_other_skytemple_c.ddj	CONVERTED	524436	382380ee55ea67154453d65d5897262a510156c3babc3ad93265fb9a55b07a24	DDS	1024	1024	android-assets/textures/worldmap/map_other_skytemple_c.webp	121676	743b053ea9e278aee909e18c1463934062da5034973c30b872378104e24fd995
Media.pk2	interface/worldmap/map/map_other_skytemple_d.ddj	CONVERTED	524436	6df403fb8bb8ba53d3ed355f41472bfe37b566740efaab33907a65e4ec48325a	DDS	1024	1024	android-assets/textures/worldmap/map_other_skytemple_d.webp	93244	c2429cce6565697179fbdb82fee86275ce77edc1188e5111f7214ec2bf7b7041
Media.pk2	interface/worldmap/map/map_dimensional_desert.ddj	CONVERTED	852116	35698b325a05abf64667a718048e3a91b9a473f8823fa1f061bf1840cab0b475	DDS	1664	1024	android-assets/textures/worldmap/map_dimensional_desert.webp	512852	18c3bdf7e26b2cd6911f46c4426537cdf8a9749bc249a334c3d90cd4d0de2d8d
